Category: All categories

Week,yeezy: (United States)
2015-05-03,4
2015-05-10,4
2015-05-17,4
2015-05-24,3
2015-05-31,4
2015-06-07,3
2015-06-14,8
2015-06-21,31
2015-06-28,18
2015-07-05,11
2015-07-12,8
2015-07-19,7
2015-07-26,8
2015-08-02,6
2015-08-09,10
2015-08-16,32
2015-08-23,22
2015-08-30,17
2015-09-06,11
2015-09-13,18
2015-09-20,12
2015-09-27,10
2015-10-04,10
2015-10-11,11
2015-10-18,10
2015-10-25,16
2015-11-01,18
2015-11-08,35
2015-11-15,21
2015-11-22,18
2015-11-29,17
2015-12-06,20
2015-12-13,41
2015-12-20,39
2015-12-27,51
2016-01-03,47
2016-01-10,42
2016-01-17,33
2016-01-24,35
2016-01-31,34
2016-02-07,65
2016-02-14,100
2016-02-21,45
2016-02-28,32
2016-03-06,30
2016-03-13,29
2016-03-20,28
2016-03-27,28
2016-04-03,27
2016-04-10,25
2016-04-17,25
2016-04-24,22
2016-05-01,23
2016-05-08,25
2016-05-15,24
2016-05-22,23
2016-05-29,20
2016-06-05,41
2016-06-12,22
2016-06-19,19
2016-06-26,19
2016-07-03,17
2016-07-10,17
2016-07-17,18
2016-07-24,15
2016-07-31,18
2016-08-07,16
2016-08-14,16
2016-08-21,21
2016-08-28,20
2016-09-04,37
2016-09-11,31
2016-09-18,54
2016-09-25,30
2016-10-02,24
2016-10-09,32
2016-10-16,25
2016-10-23,22
2016-10-30,20
2016-11-06,18
2016-11-13,24
2016-11-20,45
2016-11-27,27
2016-12-04,23
2016-12-11,37
2016-12-18,26
2016-12-25,27
2017-01-01,22
2017-01-08,21
2017-01-15,22
2017-01-22,20
2017-01-29,23
2017-02-05,36
2017-02-12,34
2017-02-19,37
2017-02-26,27
2017-03-05,19
2017-03-12,20
2017-03-19,18
2017-03-26,19
2017-04-02,17
2017-04-09,18
2017-04-16,18
2017-04-23,39
2017-04-30,25
2017-05-07,20
2017-05-14,17
2017-05-21,17
2017-05-28,20
2017-06-04,22
2017-06-11,19
2017-06-18,39
2017-06-25,22
2017-07-02,18
2017-07-09,19
2017-07-16,17
2017-07-23,16
2017-07-30,15
2017-08-06,20
2017-08-13,21
2017-08-20,17
2017-08-27,17
2017-09-03,16
2017-09-10,16
2017-09-17,15
2017-09-24,14
2017-10-01,15
2017-10-08,15
2017-10-15,16
2017-10-22,15
2017-10-29,15
2017-11-05,17
2017-11-12,35
2017-11-19,55
2017-11-26,41
2017-12-03,33
2017-12-10,51
2017-12-17,31
2017-12-24,27
2017-12-31,19
2018-01-07,18
2018-01-14,15
2018-01-21,16
2018-01-28,18
2018-02-04,15
2018-02-11,16
2018-02-18,15
2018-02-25,15
2018-03-04,26
2018-03-11,20
2018-03-18,15
2018-03-25,14
2018-04-01,14
2018-04-08,21
2018-04-15,21
2018-04-22,23
2018-04-29,19
2018-05-06,16
2018-05-13,13
2018-05-20,12
2018-05-27,14
2018-06-03,17
2018-06-10,16
2018-06-17,16
2018-06-24,28
2018-07-01,28
2018-07-08,22
2018-07-15,16
2018-07-22,15
2018-07-29,15
2018-08-05,16
2018-08-12,16
2018-08-19,18
2018-08-26,14
2018-09-02,16
2018-09-09,23
2018-09-16,48
2018-09-23,29
2018-09-30,25
2018-10-07,20
2018-10-14,17
2018-10-21,23
2018-10-28,24
2018-11-04,22
2018-11-11,37
2018-11-18,43
2018-11-25,36
2018-12-02,27
2018-12-09,34
2018-12-16,31
2018-12-23,63
2018-12-30,27
2019-01-06,22
2019-01-13,17
2019-01-20,17
2019-01-27,16
2019-02-03,16
2019-02-10,15
2019-02-17,18
2019-02-24,18
2019-03-03,26
2019-03-10,23
2019-03-17,24
2019-03-24,34
2019-03-31,25
